City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Arraial Do Cabo,BR,70.38,clear sky,-22.9661,-42.0278,Pousada Porto Praia
1,Atuona,PF,77.4,few clouds,-9.8,-139.0333,Villa Enata
2,Punta Arenas,CL,32.11,clear sky,-53.15,-70.9167,Hotel Hain
5,Avarua,CK,75.25,few clouds,-21.2078,-159.775,Paradise Inn
6,Cabo San Lucas,MX,84.51,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
8,Castro,BR,55.02,scattered clouds,-24.7911,-50.0119,CHACARA BAILLY
9,Bambous Virieux,MU,75.22,broken clouds,-20.3428,57.7575,Casa Tia Villa
10,Hobart,AU,58.26,broken clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
11,Matamoros,MX,82.94,scattered clouds,25.5333,-103.25,Quinta Belem
12,Kirakira,SB,81.66,few clouds,-10.4544,161.9205,SanBiz Lodge
13,Port Alfred,ZA,59.76,overcast clouds,-33.5906,26.891,The Halyards Hotel
14,Coquimbo,CL,53.33,overcast clouds,-29.9533,-71.3436,Hotel San Juan
15,Hualmay,PE,60.73,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
16,Thompson,CA,53.76,overcast clouds,55.7435,-97.8558,Burntwood Hotel
17,Vila Franca Do Campo,PT,70.2,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
18,Makokou,GA,69.21,overcast clouds,0.5738,12.8642,Hôtel
19,Methoni,GR,85.21,clear sky,36.8197,21.7049,Methoni Beach Hotel
20,Satipo,PE,69.94,broken clouds,-11.2522,-74.6386,Bungalows El Palmiche
21,Saldanha,ZA,48.25,light rain,-33.0117,17.9442,Blue Bay Lodge
23,Busselton,AU,57.13,light rain,-33.65,115.3333,Observatory Guest House
24,Carnarvon,AU,69.31,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
25,Tasiilaq,GL,35.01,broken clouds,65.6145,-37.6368,The Red House
26,Lesnoy,RU,67.42,few clouds,57.6198,63.0784,Apartamenty Na Sovetskoy
27,Nabire,ID,85.41,broken clouds,-3.3667,135.4833,Hotel Nusantara I
28,Cape Town,ZA,54.91,light rain,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
29,Vaini,TO,71.76,broken clouds,-21.2,-175.2,Keleti Beach Resort
30,Valparaiso,CL,51.48,overcast clouds,-33.0393,-71.6273,Hotel Ultramar
31,San Patricio,MX,78.66,overcast clouds,19.2167,-104.7,Hotel Cabo Blanco
32,Waingapu,ID,83.48,few clouds,-9.6567,120.2641,Pondok Wisata Elim
33,Portland,US,66.47,clear sky,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
34,Barrow,US,37.42,mist,71.2906,-156.7887,King Eider Inn
35,Saint-Gaudens,FR,63.25,overcast clouds,43.1167,0.7333,Hotel du Commerce
36,Katherine,AU,84.52,broken clouds,-14.4667,132.2667,Pine Tree Motel
37,Hofn,IS,52.77,overcast clouds,64.2539,-15.2082,Hótel Höfn
38,Kapaa,US,79.12,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
39,Rikitea,PF,72.81,clear sky,-23.1203,-134.9692,People ThankYou
40,Marawi,PH,77.74,scattered clouds,7.9986,124.2928,Derogongan Residence
41,Bredasdorp,ZA,50.63,light rain,-34.5322,20.0403,Bredasdorp Country Manor
42,Ekuvukeni,ZA,53.26,clear sky,-28.4675,30.1551,Sibeko Resident
43,Krasnokamensk,RU,78.42,light rain,50.0979,118.0369,Tsentral'naya
