City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Arraial Do Cabo,BR,-22.9661,-42.0278,70.38,90,5,20.87,clear sky
1,Atuona,PF,-9.8,-139.0333,77.4,77,13,15.57,few clouds
2,Punta Arenas,CL,-53.15,-70.9167,32.11,80,0,10.36,clear sky
3,Srednekolymsk,RU,67.45,153.6833,64.29,37,1,12.62,clear sky
4,Tokonou,GN,9.65,-9.7833,66.56,99,91,4.68,overcast clouds
5,Avarua,CK,-21.2078,-159.775,75.25,73,20,9.22,few clouds
6,Cabo San Lucas,MX,22.8909,-109.9124,84.51,73,82,5.59,broken clouds
7,Rundu,NA,-17.9333,19.7667,54.75,60,1,4.72,clear sky
8,Castro,BR,-24.7911,-50.0119,55.02,67,30,2.73,scattered clouds
9,Bambous Virieux,MU,-20.3428,57.7575,75.22,78,75,16.11,broken clouds
10,Hobart,AU,-42.8794,147.3294,58.26,68,75,9.22,broken clouds
11,Matamoros,MX,25.5333,-103.25,82.94,33,45,4.74,scattered clouds
12,Kirakira,SB,-10.4544,161.9205,81.66,80,23,5.28,few clouds
13,Port Alfred,ZA,-33.5906,26.891,59.76,80,100,12.37,overcast clouds
14,Coquimbo,CL,-29.9533,-71.3436,53.33,87,100,3.44,overcast clouds
15,Hualmay,PE,-11.0964,-77.6139,60.73,87,62,4.76,broken clouds
16,Thompson,CA,55.7435,-97.8558,53.76,94,100,5.75,overcast clouds
17,Vila Franca Do Campo,PT,37.7167,-25.4333,70.2,88,98,0.81,overcast clouds
18,Makokou,GA,0.5738,12.8642,69.21,94,100,2.39,overcast clouds
19,Methoni,GR,36.8197,21.7049,85.21,53,0,1.99,clear sky
20,Satipo,PE,-11.2522,-74.6386,69.94,79,80,2.33,broken clouds
21,Saldanha,ZA,-33.0117,17.9442,48.25,77,46,17.65,light rain
22,Chokurdakh,RU,70.6333,147.9167,63.77,39,96,13.35,overcast clouds
23,Busselton,AU,-33.65,115.3333,57.13,80,99,21.09,light rain
24,Carnarvon,AU,-24.8667,113.6333,69.31,52,44,14.27,scattered clouds
25,Tasiilaq,GL,65.6145,-37.6368,35.01,82,67,7.54,broken clouds
26,Lesnoy,RU,57.6198,63.0784,67.42,46,22,6.69,few clouds
27,Nabire,ID,-3.3667,135.4833,85.41,70,58,3.67,broken clouds
28,Cape Town,ZA,-33.9258,18.4232,54.91,88,20,3.44,light rain
29,Vaini,TO,-21.2,-175.2,71.76,88,75,10.36,broken clouds
30,Valparaiso,CL,-33.0393,-71.6273,51.48,92,100,3.44,overcast clouds
31,San Patricio,MX,19.2167,-104.7,78.66,89,96,1.88,overcast clouds
32,Waingapu,ID,-9.6567,120.2641,83.48,51,18,16.89,few clouds
33,Portland,US,45.5234,-122.6762,66.47,75,0,6.91,clear sky
34,Barrow,US,71.2906,-156.7887,37.42,87,100,13.8,mist
35,Saint-Gaudens,FR,43.1167,0.7333,63.25,88,93,1.74,overcast clouds
36,Katherine,AU,-14.4667,132.2667,84.52,9,54,10.36,broken clouds
37,Hofn,IS,64.2539,-15.2082,52.77,77,97,3.2,overcast clouds
38,Kapaa,US,22.0752,-159.319,79.12,79,20,16.11,few clouds
39,Rikitea,PF,-23.1203,-134.9692,72.81,72,9,10.38,clear sky
40,Marawi,PH,7.9986,124.2928,77.74,84,43,1.34,scattered clouds
41,Bredasdorp,ZA,-34.5322,20.0403,50.63,86,69,8.48,light rain
42,Ekuvukeni,ZA,-28.4675,30.1551,53.26,47,1,2.33,clear sky
43,Krasnokamensk,RU,50.0979,118.0369,78.42,53,93,11.36,light rain
44,Meadow Lake,US,34.8014,-106.5436,79.68,47,90,6.67,overcast clouds
45,Port Elizabeth,ZA,-33.918,25.5701,59.31,76,0,15.01,clear sky
46,Yulara,AU,-25.2406,130.9889,79.25,19,2,9.8,clear sky
47,Chuy,UY,-33.6971,-53.4616,56.5,98,100,5.32,overcast clouds
48,Tambovka,RU,50.0969,128.0489,81.46,47,27,9.1,scattered clouds
49,Listvyanskiy,RU,54.4399,83.4984,70.25,44,48,12.03,scattered clouds
50,Geraldton,AU,-28.7667,114.6,66.61,68,40,20.71,scattered clouds
51,Ushuaia,AR,-54.8,-68.3,35.26,87,75,23.02,broken clouds
52,Jamestown,US,42.097,-79.2353,72.72,83,0,4.61,clear sky
53,Pacific Grove,US,36.6177,-121.9166,59.2,88,0,5.75,clear sky
54,Kodiak,US,57.79,-152.4072,50.59,79,93,4.74,overcast clouds
55,New Norfolk,AU,-42.7826,147.0587,57.92,76,100,1.99,overcast clouds
56,Hithadhoo,MV,-0.6,73.0833,82.4,72,99,5.84,overcast clouds
57,Khatanga,RU,71.9667,102.5,44.55,86,100,11.65,overcast clouds
58,Quatre Cocos,MU,-20.2078,57.7625,75.09,70,8,16.67,clear sky
59,Dauriya,RU,49.9333,116.8667,74.82,53,100,11.48,overcast clouds
60,Upernavik,GL,72.7868,-56.1549,43.03,94,100,10.83,overcast clouds
61,Teya,RU,60.3778,92.6267,73.98,48,49,9.95,scattered clouds
62,Tiksi,RU,71.6872,128.8694,46.56,77,93,6.38,overcast clouds
63,Dikson,RU,73.5069,80.5464,54.77,72,94,12.75,overcast clouds
64,Dingle,PH,10.9995,122.6711,88.36,67,98,3.44,overcast clouds
65,Boende,CD,-0.2167,20.8667,70.45,92,96,1.9,overcast clouds
66,Necochea,AR,-38.5473,-58.7368,42.37,88,60,8.55,broken clouds
67,Albenga,IT,44.0529,8.216,83.61,76,91,4.0,overcast clouds
68,Matias Barbosa,BR,-21.8692,-43.3194,51.48,99,3,1.48,clear sky
69,Misratah,LY,32.3754,15.0925,80.49,53,0,4.59,clear sky
